Date,True,Deep LSTM with 50-50-50-50 neuron,LSTM with 50-50-50-50 neuron and recurrent dropout,Shallow LSTM 50-50 neurons,Shallow LSTM 50-10 neurons,Shallow LSTM 10-10 neurons,Shallow LSTM 10-10 neurons without callback opt,Shallow LSTM 5-5 neurons without callback opt
2019-02-22,42.35549545288086,41.859585,40.19539,41.38599,40.692562,40.27889,40.294224,35.465446
2019-02-25,42.66402816772461,41.96693,40.37258,41.462906,40.766808,40.368908,40.366333,35.50844
2019-02-26,42.68851089477539,42.176525,40.50956,41.557693,40.8576,40.458668,40.45122,35.547707
2019-02-27,42.82074737548828,42.383457,40.642204,41.66062,40.955894,40.550983,40.54189,35.58731
2019-02-28,42.39957046508789,42.54215,40.77263,41.770294,41.06007,40.647198,40.637478,35.626472
2019-03-01,42.84523391723633,42.488632,40.848232,41.850746,41.13538,40.716393,40.7074,35.656548
2019-03-04,43.06071853637695,42.452335,40.91962,41.937176,41.21583,40.790535,40.782375,35.684536
2019-03-05,42.982357025146484,42.538677,40.9931,42.033863,41.306202,40.871037,40.866177,35.714466
2019-03-06,42.735042572021484,42.650253,41.0489,42.125546,41.39169,40.945133,40.945576,35.74276
2019-03-07,42.24039840698242,42.64946,41.09737,42.19534,41.45632,41.005634,41.006958,35.768005
2019-03-08,42.340797424316406,42.426193,41.14901,42.219994,41.47847,41.040676,41.031403,35.787518
2019-03-11,43.807579040527344,42.1793,41.213734,42.22225,41.479954,41.06492,41.03773,35.80207
2019-03-12,44.299774169921875,42.47381,41.27527,42.293633,41.547176,41.12724,41.100933,35.820683
2019-03-13,44.49566650390625,43.201355,41.343903,42.42971,41.67621,41.22442,41.217113,35.851894
2019-03-14,44.99030303955078,43.954388,41.41386,42.60875,41.84493,41.346794,41.36792,35.892246
2019-03-15,45.5755500793457,44.56339,41.501038,42.83317,42.05487,41.502567,41.55614,35.94268
2019-03-18,46.04081726074219,45.056366,41.60422,43.10533,42.308033,41.69379,41.784077,36.003815
2019-03-19,45.67595291137695,45.46969,41.73235,43.41725,42.59706,41.917614,42.045498,36.075867
2019-03-20,46.075096130371094,45.57615,41.881447,43.7136,42.87052,42.140556,42.295246,36.15278
2019-03-21,47.772056579589844,45.57889,42.047867,44.006577,43.139645,42.370644,42.543247,36.22989
2019-03-22,46.782772064208984,46.10899,42.243256,44.377125,43.480038,42.6553,42.855526,36.315334
2019-03-25,46.21711349487305,46.490036,42.452415,44.71294,43.788704,42.919857,43.14041,36.40609
2019-03-26,45.739620208740234,46.377293,42.672966,44.97786,44.031204,43.148598,43.367985,36.488457
2019-03-27,46.151004791259766,45.87268,42.900574,45.156696,44.19443,43.33034,43.52662,36.559498
2019-03-28,46.21221923828125,45.498924,43.12443,45.295452,44.32139,43.4872,43.653202,36.619473
2019-03-29,46.5134162902832,45.415012,43.34722,45.403595,44.421734,43.61988,43.75489,36.673225
2019-04-01,46.82930374145508,45.63231,43.548656,45.502716,44.514595,43.737274,43.847923,36.71947
2019-04-02,47.51003646850586,46.046295,43.732967,45.608185,44.613705,43.84921,43.944405,36.76188
2019-04-03,47.835731506347656,46.6388,43.90776,45.75022,44.746254,43.976048,44.06855,36.804386
2019-04-04,47.91897201538086,47.228218,44.079067,45.92413,44.90767,44.116783,44.216614,36.850273
2019-04-05,48.2397575378418,47.606697,44.25338,46.11216,45.081318,44.26473,44.374485,36.89873
2019-04-08,48.998870849609375,47.816277,44.422333,46.315758,45.267998,44.422,44.543594,36.947372
2019-04-09,48.8519401550293,48.11843,44.56833,46.5588,45.489098,44.600674,44.74329,36.995693
2019-04-10,49.12619400024414,48.331577,44.715004,46.802982,45.710686,44.780922,44.943768,37.047417
2019-04-11,48.717262268066406,48.48167,44.869553,47.05014,45.934174,44.967655,45.146572,37.099167
2019-04-12,48.69766616821289,48.408127,45.02525,47.260197,46.123833,45.135048,45.320396,37.149548
2019-04-15,48.78582000732422,48.22173,45.178192,47.434685,46.281116,45.2843,45.46649,37.194344
2019-04-16,48.79072189331055,48.094135,45.32778,47.58176,46.413895,45.41783,45.591576,37.23458
